    0.230398750305175781E+01    0.131217016736521986E-03    0.460945528322262987E+00    0.301846489082059666E+01    0.182620823383331299E+00    0.414824604988098145E+00    0.509605050086975098E+00    0.295226514339447021E+00    0.695638895034790039E+00    0.389092169871838891E+02   -0.760090241787552312E+01    1
    0.247691828012466431E+01    0.809382176737199338E-02    0.633032423382958287E+00    0.135715423647959055E+01    0.797113776206970215E-01    0.420081555843353271E+00    0.428099155426025391E+00    0.898448944091796875E+00    0.117611289024353027E-01    0.390003213315734882E+02   -0.760140241787544646E+01    1
    0.258624333143234253E+01    0.391671828845072817E-02    0.851367108039939313E+00    0.702575733780385514E+00    0.814880311489105225E+00    0.660324633121490479E+00    0.283114135265350342E+00    0.894069790840148926E+00    0.249444186687469482E+00    0.390014180373724528E+02   -0.760190241787540621E+01    1
    0.248367100954055786E+01    0.703118295118195045E-02    0.393285006783856028E+00    0.195708332794931472E+01    0.779784977436065674E+00    0.574123263359069824E+00    0.948412835597991943E+00    0.284569501876831055E+00    0.566233038902282715E+00    0.391010518532853837E+02   -0.760240241787539794E+01    1
    0.272595763206481934E+01    0.358295984477521564E-02    0.491536486605106404E+00    0.188816568672030405E+01    0.920921146869659424E+00    0.712775468826293945E+00    0.408051609992980957E-01    0.236645936965942383E-01    0.385923683643341064E+00    0.391118003935041259E+02   -0.760290241787547671E+01    1
    0.275335460901260376E+01    0.127486051410610644E-04    0.522235034600722625E+00    0.162477562432083156E+01    0.712121307849884033E+00    0.481738686561584473E+00    0.922443807125091553E+00    0.894975960254669189E+00    0.374096691608428955E+00    0.391185585454768088E+02   -0.760340241787553950E+01    1
    0.124285626411437988E+01    0.101377081694179385E-01    0.652101811513334684E+00    0.161674181457847599E+01    0.648971796035766602E+00    0.200508415699005127E+00    0.489150881767272949E-01    0.489406585693359375E-01    0.703748464584350586E-01    0.391440796076920989E+02   -0.760390241787554544E+01    1
    0.251323217153549194E+01    0.926558354452773278E-02    0.988624749448911100E+00   -0.119325842873869647E+01    0.504257023334503174E+00    0.978099822998046875E+00    0.637215018272399902E+00    0.781996369361877441E+00    0.599063038825988770E+00    0.391515421721472592E+02   -0.760440241787551496E+01    1
    0.281750482320785522E+01    0.338941874319107113E-02    0.552814405279453025E+00    0.115181109332793152E+01    0.229210495948791504E+00    0.946449458599090576E+00    0.775552809238433838E+00    0.557457804679870605E-01    0.359502136707305908E+00    0.391892072388969694E+02   -0.760490241787542143E+01    1
    0.138489121198654175E+01    0.136977234186544932E-01    0.777522540716395150E+00    0.852504951018954737E+00    0.220908343791961670E+00    0.447466552257537842E+00    0.156359791755676270E+00    0.491783976554870605E+00    0.973513484001159668E+00    0.391944682069757775E+02   -0.760540241787541049E+01    1
    0.297170931100845337E+01    0.177703018334871357E-01   -0.858551838465988898E-01    0.288450328413309620E+01    0.374141037464141846E+00    0.840299069881439209E+00    0.907542049884796143E+00    0.528718888759613037E+00    0.542322933673858643E+00    0.391959739172467394E+02   -0.760590241787546884E+01    1
    0.259742403030395508E+01   -0.537321766343446319E-02    0.386318889862833192E+00    0.216708339783933246E+01    0.534218370914459229E+00    0.812497138977050781E+00    0.875394940376281738E+00    0.624333024024963379E+00    0.541058421134948730E+00    0.392117200960809527E+02   -0.760640241787542148E+01    1
    0.193507862091064453E+01    0.103306986409993588E-01    0.413777064202265676E+00    0.199453532872954242E+01    0.953146755695343018E+00    0.909820199012756348E+00    0.940735876560211182E+00    0.105937182903289795E+00    0.439387559890747070E+00    0.392241285452193011E+02   -0.760690241787538035E+01    1
    0.277487736940383911E+01   -0.571931547967979240E-02    0.461604176353827722E+00    0.200932671328410395E+01    0.611886262893676758E+00    0.800687849521636963E+00    0.130706846714019775E+00    0.764205992221832275E+00    0.484325706958770752E+00    0.392299038625584373E+02   -0.760740241787540672E+01    1
