Nested Sampling Global Log-Evidence           :   -0.138901232604482152E+04  +/-    0.425322852301874069E-01
Nested Importance Sampling Global Log-Evidence:   -0.138894933725722217E+04  +/-    0.183380326036662808E-01

Dim No.       Mean        Sigma
   1    0.121294690021227769E+01    0.320422713381583457E+00
   2   -0.218685557916568722E-03    0.426723827256633454E-02
   3    0.960962939414714279E-01    0.666978290500216120E-01
   4   -0.501742313363847336E+00    0.287773745700723504E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.124961671707173272E+01
   2   -0.711683519321182258E-02
   3    0.901678620264138447E-01
   4   -0.687511834402615873E+00

MAP Parameters
Dim No.        Parameter
   1    0.124961671707173272E+01
   2   -0.711683519321182258E-02
   3    0.901678620264138447E-01
   4   -0.687511834402615873E+00
