    0.994465954598782176E+00    0.108463686210933563E+01    0.105769439201488336E+01   -0.177533435377890282E+04
    0.989620562937218673E+00    0.981976931489044524E+00    0.962318147423695924E+00   -0.177407108763380438E+04
    0.999485717121469941E+00    0.106149384535882918E+01    0.110879668649081187E+01   -0.177346611770821369E+04
    0.100753218397235589E+01    0.964100086644386289E+00    0.100220501056232836E+01   -0.177309996159692150E+04
    0.100068602573077325E+01    0.966116683877104143E+00    0.108273917981246925E+01   -0.177290073758032986E+04
    0.101037734618842556E+01    0.999464737722296381E+00    0.104749436230464910E+01   -0.177283512993011709E+04
    0.994046621835122268E+00    0.100876107703262385E+01    0.886185524844616435E+00   -0.177258522556676553E+04
    0.100848021358489115E+01    0.984793592861553657E+00    0.935619197481444731E+00   -0.177254469891939107E+04
    0.992946537191381706E+00    0.107276581552574646E+01    0.975637354251435607E+00   -0.177246529698478707E+04
    0.991022811819774918E+00    0.106112457126389170E+01    0.100310803855590680E+01   -0.177223109970246719E+04
    0.100976345397400835E+01    0.102689467494334252E+01    0.105795396395201169E+01   -0.177209777744590974E+04
    0.100727158418439400E+01    0.104964464161871129E+01    0.922456369576444501E+00   -0.177182902524140718E+04
    0.100628178873894458E+01    0.106445036930542081E+01    0.942909362441502474E+00   -0.177171163948400340E+04
    0.100572098941123733E+01    0.107419560894809751E+01    0.996121838237731372E+00   -0.177162362357760981E+04
    0.100396398830307554E+01    0.106890249978347351E+01    0.105964793954309933E+01   -0.177150519849741181E+04
    0.100325715501610535E+01    0.105623354778736522E+01    0.903577971665416868E+00   -0.177150464974456304E+04
    0.993868980287849979E+00    0.970418180214158155E+00    0.103085553746293535E+01   -0.177147160824777302E+04
    0.990839472856635095E+00    0.100238187760447106E+01    0.104909337279240344E+01   -0.177132349962029571E+04
    0.996782250913992640E+00    0.103858366719590167E+01    0.887317248080612742E+00   -0.177132056338402572E+04
    0.992468999941171770E+00    0.102486766732467172E+01    0.108125537557968210E+01   -0.177126181858090035E+04
    0.992049160510466210E+00    0.100823625155826813E+01    0.920988758526487095E+00   -0.177119594898987589E+04
    0.100456681312033891E+01    0.107505701674313103E+01    0.984522811619140681E+00   -0.177111386663764847E+04
    0.994154197030954201E+00    0.989591197472774131E+00    0.916857164862749041E+00   -0.177108190905716401E+04
    0.993334992937255024E+00    0.103585045203882919E+01    0.108221519827659396E+01   -0.177098850998927992E+04
