    0.800366115570068426E+00    0.258725881576538086E-01    0.174994444847106934E+01   -0.653566094204645924E+04   -0.690775511231546968E+01    1
    0.803032636642456055E+00    0.199538445472717285E+01    0.115302681922912598E+00   -0.614513618981844411E+04   -0.690875511231548245E+01    1
    0.805839037895202726E+00    0.112161755561828613E+00    0.183933115005493164E+01   -0.609261437586947068E+04   -0.690975511231547301E+01    1
    0.812230873107910201E+00    0.329816341400146484E-02    0.976007461547851562E+00   -0.608146053518484405E+04   -0.691075511231547601E+01    1
    0.117692589759826660E+01    0.271320343017578125E-01    0.192869746685028076E+01   -0.593697894011747485E+04   -0.691175511231546658E+01    1
    0.119918735027313250E+01    0.163024067878723145E+00    0.186820244789123535E+01   -0.589222847524736244E+04   -0.691275511231547579E+01    1
    0.828656172752380460E+00    0.570085048675537109E-01    0.191392695903778076E+01   -0.585647977356753472E+04   -0.691375511231547435E+01    1
    0.803270840644836448E+00    0.208074569702148438E+00    0.134187459945678711E+00   -0.583021493303714760E+04   -0.691475511231548357E+01    1
    0.119378025531768817E+01    0.193601512908935547E+01    0.176223790645599365E+01   -0.583003770120557419E+04   -0.691575511231552209E+01    1
    0.805012083053588956E+00    0.156279206275939941E+00    0.165508544445037842E+01   -0.581091977878942998E+04   -0.691675511231554463E+01    1
    0.804605913162231512E+00    0.187705695629119873E+01    0.114117980003356934E+00   -0.574234588274921862E+04   -0.691775511231549967E+01    1
    0.119937870502471933E+01    0.195055568218231201E+01    0.983649134635925293E+00   -0.572648383894612562E+04   -0.691875511231549378E+01    1
    0.807251739501953169E+00    0.120140552520751953E+00    0.125018990039825439E+01   -0.571727490185690021E+04   -0.691975511231551454E+01    1
    0.808916330337524414E+00    0.153478384017944336E+00    0.163775074481964111E+01   -0.571517616806645674E+04   -0.692075511231548113E+01    1
    0.812593865394592330E+00    0.195715773105621338E+01    0.241761684417724609E+00   -0.569428786972186208E+04   -0.692175511231547080E+01    1
    0.119125597476959233E+01    0.663605928421020508E-01    0.109181666374206543E+01   -0.568289202784613917E+04   -0.692275511231549334E+01    1
    0.119776744842529315E+01    0.127599716186523438E+00    0.102143204212188721E+01   -0.560856480221536185E+04   -0.692375511231548746E+01    1
    0.118260803222656263E+01    0.198087513446807861E+01    0.156392347812652588E+01   -0.558588650234904617E+04   -0.692475511231548957E+01    1
    0.119140365123748793E+01    0.223731756210327148E+00    0.194370555877685547E+01   -0.558267237325517908E+04   -0.692575511231552365E+01    1
    0.828206729888916082E+00    0.712294578552246094E-01    0.158646726608276367E+01   -0.556784420151467020E+04   -0.692675511231553909E+01    1
    0.116374020576477055E+01    0.538547039031982422E-01    0.522155761718750000E-01   -0.556399125011034630E+04   -0.692775511231552343E+01    1
