Nested Sampling Global Log-Evidence           :   -0.175234546943148598E+04  +/-    0.510593754630127572E-01
Nested Importance Sampling Global Log-Evidence:   -0.175243693048819773E+04  +/-    0.245409890662893863E-01

Dim No.       Mean        Sigma
   1    0.126322512536517095E+01    0.306292859149637942E+00
   2   -0.628763782660804807E-02    0.716892940657743848E-02
   3    0.112558358402046046E+00    0.655158886677806446E-01
   4   -0.894573201582858579E+00    0.559994342981839810E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.132140371892437525E+01
   2   -0.267583677026975164E-01
   3    0.130921736150415829E+00
   4   -0.740445393582582323E+00

MAP Parameters
Dim No.        Parameter
   1    0.132140371892437525E+01
   2   -0.267583677026975164E-01
   3    0.130921736150415829E+00
   4   -0.740445393582582323E+00
